job_title,job_n,document
technology enabled care development officer,1,KIND_841
telecare team lead,1,KIND_842
tenancy sustainment and support manager,1,KIND_843
terminology services manager,1,KIND_844
theatre utilisation data coordinator,1,KIND_845
thinking differently coordinator,1,KIND_846
tissue viability nurse for care homes,1,KIND_847
tl,2,KIND_848
tobacco control project manager,1,KIND_849
tobacco/prevention cessation officer,2,KIND_850
trainee clinical scientist,2,KIND_851
transformation programme lead,3,KIND_852
united kingdom,33,KIND_853
user support librarian,6,KIND_854
ux researcher,2,KIND_855
vaccination planning & performance co-ordinator,2,KIND_856
vaccination system specialist,1,KIND_857
vaccination systems specialist,6,KIND_858
vaccinations planning & performance co-ordinator,1,KIND_859
volunteer,3,KIND_860
web support officer,3,KIND_861
wellbeing advisor,1,KIND_862
workforce analyst,1,KIND_863
workforce development officer,1,KIND_864
workforce information and development manager,4,KIND_865
workforce information and systems analyst,11,KIND_866
workforce intelligence,2,KIND_867
workforce intelligence assistant,3,KIND_868
workforce intelligence manager,6,KIND_869
workforce planning advisor,1,KIND_870
workforce planning manager,3,KIND_871
workforce service manager,1,KIND_872
workforce system specialist,2,KIND_873
workforce systems & information analyst,3,KIND_874
workforce systems and data lead,2,KIND_875
workforce systems and information analyst,1,KIND_876
workforce systems assistant,2,KIND_877
workforce systems manager,5,KIND_878
workforce systems officer,2,KIND_879
